Name,ProjectedFP,flag,IDfg,flag_value
Casey Mize,317.9347886057778,Low projected PA/IP (injury/role concern),—,149.0
Charlie Morton,316.7819685333333,Age 42 — heightened decline risk,,42.4
Charlie Morton,316.7819685333333,Low projected PA/IP (injury/role concern),—,142.0
Edward Cabrera,315.8904004666665,Low projected PA/IP (injury/role concern),—,137.2
Taj Bradley,313.97713863999996,Low projected PA/IP (injury/role concern),—,142.2
Drew Rasmussen,313.4524532,Low projected PA/IP (injury/role concern),—,150.0
Tomoyuki Sugano,312.1850904666666,Low projected PA/IP (injury/role concern),—,157.0
Jeffrey Springs,307.01283,Low projected PA/IP (injury/role concern),—,171.0
Kodai Senga,306.86350057999994,Low projected PA/IP (injury/role concern),—,113.1
JP Sears,306.21051758844436,Low projected PA/IP (injury/role concern),—,135.2
Miles Mikolas,304.94255413458666,Age 38 — heightened decline risk,,37.6
Miles Mikolas,304.94255413458666,Low projected PA/IP (injury/role concern),—,156.1
Justin Verlander,298.6780331875555,Low projected PA/IP (injury/role concern),—,152.0
Justin Verlander,298.6780331875555,Age 43 — heightened decline risk,,43.1
Nolan Arenado,295.0093200345774,Age 35 — heightened decline risk,,35.0
Jameson Taillon,293.8125630570666,Low projected PA/IP (injury/role concern),—,129.2
Michael Lorenzen,293.69551809695105,Low projected PA/IP (injury/role concern),—,141.2
Patrick Corbin,292.15376066543325,Age 37 — heightened decline risk,,36.7
Patrick Corbin,292.15376066543325,Low projected PA/IP (injury/role concern),—,155.1
J.T. Realmuto,291.91962933274925,Age 35 — heightened decline risk,,35.0
Kyle Hendricks,289.29644043224886,Low projected PA/IP (injury/role concern),—,164.2
Kyle Hendricks,289.29644043224886,Age 36 — heightened decline risk,,36.3
Logan Allen,288.33211960373325,Low projected PA/IP (injury/role concern),—,156.2
Christian Walker,283.54683719119447,Age 35 — heightened decline risk,,35.0
Sean Burke,270.76838735099994,Low projected PA/IP (injury/role concern),—,134.1
Tyler Anderson,270.60341171055114,Age 36 — heightened decline risk,,36.3
Tyler Anderson,270.60341171055114,Low projected PA/IP (injury/role concern),—,136.1
Hunter Greene,268.20113565802666,Low projected PA/IP (injury/role concern),—,107.2
Erick Fedde,268.14638026666665,Low projected PA/IP (injury/role concern),—,141.0
Andre Pallante,262.5081061341888,Low projected PA/IP (injury/role concern),—,162.2
Eduardo Rodriguez,259.5546364287777,Low projected PA/IP (injury/role concern),—,154.1
Bryce Elder,255.39323939359997,Low projected PA/IP (injury/role concern),—,156.1
Matthew Liberatore,254.43829840128,Low projected PA/IP (injury/role concern),—,151.2
Chris Paddack,253.55146204444443,Low projected PA/IP (injury/role concern),—,158.0
Quinn Priester,250.09561416466659,Low projected PA/IP (injury/role concern),—,157.1
Spencer Schwellenbach,248.02087182400004,Low projected PA/IP (injury/role concern),—,110.2
Cade Horton,242.08039053333334,Low projected PA/IP (injury/role concern),—,118.0
Jose Quintana,241.42727472028437,Age 37 — heightened decline risk,,37.2
Jose Quintana,241.42727472028437,Low projected PA/IP (injury/role concern),—,131.2
Brad Lord,238.14852817839989,Low projected PA/IP (injury/role concern),—,130.2
Jack Leiter,235.37807999999993,Low projected PA/IP (injury/role concern),—,151.2
Max Muncy,234.14700260035346,Age 36 — heightened decline risk,,35.6
Andrew Heaney,230.86037909733335,Low projected PA/IP (injury/role concern),—,122.1
Chad Patrick,228.4114298104889,Low projected PA/IP (injury/role concern),—,119.2
Trevor Rogers,228.18499849600002,Low projected PA/IP (injury/role concern),—,109.2
Simeon Woods Richardson,227.27010528444438,Low projected PA/IP (injury/role concern),—,111.1
Marcell Ozuna,225.13887817234658,Age 35 — heightened decline risk,,35.4
Spencer Steer,224.6194168158206,Low projected PA/IP (injury/role concern),—,214.386
Kyle Freeland,224.48556108745555,Low projected PA/IP (injury/role concern),—,162.2
